cid,Compound,Bioactivity,Paper
3117,Disulfiram,MERS- and/or SARS-CoV PLpro inhibitor,
41684,Nitazoxanide,host-based anti-Coviral drugs for Cov infections; Induces the host innate immune response to produce interferons (a and b) by the host’s fibroblasts and protein kinase R (PKR) activation,
5284373,Cyclosporine,host-based anti-Coviral drugs for Cov infections; Cyclophilin inhibitor that could modulate the interaction of cyclophilins with SARS-CoV nsp1 and the calcineurin–NFAT pathway,
11707110,Trametinib,host-based anti-Coviral drugs for Cov infections; Inhibits the ERK/MAPK and PI3K/AKT/mTOR signaling pathways,
10127622,Selumetinib,host-based anti-Coviral drugs for Cov infections; Inhibits the ERK/MAPK and PI3K/AKT/mTOR signalingpathways,
98888,Aziridine,host-based anti-Coviral drugs for Cov infections,
439501,Ouabain,host-based anti-Coviral drugs for Cov infections,
9547215,Bufalin,host-based anti-Coviral drugs for Cov infections,
5316743,Dihydrotanshinone,host-based anti-Coviral drugs for Cov infections; Blocks the endosomal entry pathway,
9962075,Dec-RVKR-CMK,host-based anti-Coviral drugs for Cov infections,
166138,ADS-J1,host-based anti-Coviral drugs for Cov infections,
6433272,Nystatin,host-based anti-Coviral drugs for Cov infections,
122143,Methyl-beta-cyclodextrin,host-based anti-Coviral drugs for Cov infections,
16760621,PJ34,host-based anti-Coviral drugs for Cov infections,"Recent discovery and development of inhibitors targeting coronaviruse, Pillaiyar et. al."
11513676,Alisporivir,Modulates the interaction of cyclophilins with SARS-CoV nsp1 and the calcineurin–NFAT pathway,
5284616,Rapamycin,Inhibits the ERK/MAPK and PI3K/AKT/mTOR pathways significantly inhibited MERS-CoVreplication,
5440,Thiethylperazine,Antipsychotic that affects the assemblyof clathrin-coated pits at the plasma membrane,
2536,Camostat,Blocks endosomal protease-mediated cleavage and the endosomal entry pathway,
1013959,Pyrimidine (FA-613),Inhibits DHODH,
492405,Favipiravir,Inhibits RdRp,
135398748,Penciclovir,Inhibits RdRp,
121304016,Remdesivir,Terminates the non-obligate chain,
10445549,Galidesivir,Inhibits viral RNA polymerase function by terminating non-obligate RNA chain,
213039,Darunavir,Inhibits 3CLpro,
4413,Nafamostat,Inhibits spike-mediated membrane fusion,
445154,Resveratrol,Nucleocapsid protein target,
57336515,Gemcitabine hydrochloride,DNA metabolism inhibitor,
131411,Arbidol (Umifenovir),,
65028,Oseltamivir,influenzaneuraminidase inhibitor,"Therapeutic options for the 2019 novel coronavirus (2019-nCoV), Li, De Clercq"
